Group_Name,avg_time_per_book,bookshelf_link,category,curr_reading_authors,curr_reading_titles,group_type,location,member_cnt,tags
horrorbookclub,0.0,,"Books & Literature, Horror",,,This is a public group. Anyone can join and invite others to join.,NA,4,"bookclub, horror-fans, horror-fantasy, horror-fiction, horror-stories"
Sexy in '17,27.0,https://www.goodreads.com/group/bookshelf/207984-sexy-in-17,"Books & Literature, Romance",Alisha Rai,"""A Gentleman in the Street (The Campbell Siblings, #1)""",This is a public group. Anyone can join and invite others to join.,NA,32,"2017, bookclub, new-reader, romance"
Lectores Latinos!,0.0,,"Books & Literature, General",,,This is a public group. Anyone can join and invite others to join.,Mexico,2,"bookclub, español, latino, latinoamérica, spanglish"
Book Club S/J/I/M/E,0.0,,"Student Groups, Academic Groups",,,"This is a private group. Members must be invited or approved by the group's moderator.
          This group meets in real life.",NA,4,bookclub
Binkies and Briefcases Bookclub,0.0,https://www.goodreads.com/group/bookshelf/207856-binkies-and-briefcases-bookclub,"Books & Literature, Literature & Fiction",,,This is a public group. Anyone can join and invite others to join.,NA,24,bookclub
Torontonative's Tumblr Book Club,0.0,https://www.goodreads.com/group/bookshelf/208143-torontonative-s-tumblr-book-club,"Books & Literature, General",,,This is a public group. Anyone can join and invite others to join.,Canada,3,bookclub
the Cool books ,0.0,,"Books & Literature, Young Adult",,,This is a public group. Anyone can join and invite others to join.,Venezuela,36,"bookclub, coolness, ya, young-adult"
Books For Your Shelf,0.0,https://www.goodreads.com/group/bookshelf/208074-books-for-your-shelf,"Friends & Common Interest, Beliefs & Causes",,,This is a public group. Anyone can join and invite others to join.,The United Kingdom,50,"bookclub, bookclub-any-type-of-book, fiction-bookclub, readalong, reading-club"
Slow Read Book Club,151.0,https://www.goodreads.com/group/bookshelf/207864-slow-read-book-club,"Books & Literature, Literature & Fiction","Sarah Perry, S.K. Tremayne, Stephenie Meyer","""The Essex Serpent"", ""The Ice Twins"", ""The Chemist""",This is a public group. Anyone can join and invite others to join.,The United Kingdom,17,"any-genre, anyone-is-welcome, anything-you-like-to-read, book-club, bookclub, bookclub-any-type-of-book, no-pressure, slow-readers"
Clube das Coloridas Lary e Jô,0.0,,"Books & Literature, General",,,This is a private group. Members must be invited or approved by the group's moderator.,Brazil,2,bookclub
Charismatic Interest ,0.0,,"Books & Literature, Religion & Spirituality",,,This is a public group. Anyone can join and invite others to join.,NA,5,"bookclub, books, charismatic, christian, christian-book-club, christian-group, christianity, spiritual-but-not-religious, spiritual-growth"
Fantastic Books & Where To Find Them,0.0,https://www.goodreads.com/group/bookshelf/207894-fantastic-books-where-to-find-them,"Books & Literature, Literature & Fiction",,,This is a public group. Anyone can join and invite others to join.,NA,59,"bestsellers, bookclub, classics, fiction, literature, non-fiction"
Readers club,0.0,https://www.goodreads.com/group/bookshelf/207514-readers-club,"Books & Literature, Literature & Fiction",,,This is a public group. Anyone can join and invite others to join.,Australia,8,"bookclub, fiction, fiction-bookclub"
Daily Reasons To Live,0.0,,"Friends & Common Interest, Self-help",,,This is a public group. Anyone can join and invite others to join.,NA,2,"blog, bookclub, classics, culture, fitness, fun, health, humor, life, lifestyles"
Tier Eye and the Cool Kids,0.0,,"Books & Literature, General",,,This is a private group. Members must be invited or approved by the group's moderator.,NA,2,"bookclub, fiction, tier-eye-and-the-cool-kids, young-adult"
Pretentious Artists,0.0,,"Entertainment & Arts, Fine Arts",,,This is a public group. Anyone can join and invite others to join.,NA,2,"art, artists, bookclub, ideas, love, music, performers, singers, theater, theatre"
101 TOPPERS,0.0,,"Student Groups, Fraternities & Sororities",,,"This is a private group. Members must be invited or approved by the group's moderator.
          This group meets in real life.",Brazil,4,bookclub
Wattpad Germany,0.0,,"Books & Literature, General",,,This is a public group. Anyone can join and invite others to join.,Germany,4,"bookclub, bücher, deutsche-gruppe, german, germany, tips-and-tricks, wattpad, wattpad-account"
Book Club Bliss,0.0,,"Books & Literature, Literature & Fiction",,,"This is a public group. Anyone can join and invite others to join.
          This group meets in real life.","Warner Robins, GA",2,"bookclub, historical-fiction, pop-culture, popular-fiction"
World Book Tour,0.0,,"Books & Literature, General",,,This is a public group. Anyone can join and invite others to join.,Hungary,19,"bookclub, challenge, travel, world"
Adictas a la lectura,30.0,https://www.goodreads.com/group/bookshelf/207504-adictas-a-la-lectura,"Books & Literature, Young Adult",Sarah J. Maas,"""Una corte de rosas y espinas (Una corte de rosas y espinas, #1)""","This is a private group. Members must be invited or approved by the group's moderator.
          This group meets in real life.",Spain,4,"bookclub, distopía, erótica, new-adult, romance, young-adult"
All We Know Book Club,0.0,,"Books & Literature, General",,,This is a public group. Anyone can join and invite others to join.,The United Kingdom,11,"all-we-know, bookclub, books, discussion, discussion-group, genre, group, members"
Long Distance Lit,26.5,https://www.goodreads.com/group/bookshelf/207712-long-distance-lit,"Books & Literature, Young Adult","Lauren Oliver, Michael Finkel","""Before I Fall"", ""True Story: Murder, Memoir, Mea Culpa""",This is a public group. Anyone can join and invite others to join.,NA,2,"bookclub, contemporary, distance, friends, lit, long-distance, romance, young-adult"
It's Not Just a Book Club,0.0,https://www.goodreads.com/group/bookshelf/181222-it-s-not-just-a-book-club,"Books & Literature, Literature & Fiction",,,This is a public group. Anyone can join and invite others to join.,Germany,72,"bookclub, fantasy, new-release, variety, young-adult"
Dostoevsky: Demons,0.0,https://www.goodreads.com/group/bookshelf/207716-dostoevsky-demons,"Books & Literature, Literature & Fiction",,,This is a public group. Anyone can join and invite others to join.,Russian Federation,12,"bookclub, demons, dostoevsky, literature, novel, russian"
NEW BOOKTUBERS SUPPORTING EACH OTHER,0.0,,"Books & Literature, General",,,This is a public group. Anyone can join and invite others to join.,NA,4,"bookclub, booktube, booktube-stuff, booktuber, booktubers"
Lettori del Piemonte,0.0,https://www.goodreads.com/group/bookshelf/122245-lettori-del-piemonte,"Friends & Common Interest, Activities",,,"This is a public group. Anyone can join and invite others to join.
          This group meets in real life.","10050, Italy",34,"bookclub, piedmont, piemonte, torino, turin"
Classic Book a Month Club,29.0,https://www.goodreads.com/group/bookshelf/207710-classic-book-a-month-club,"Books & Literature, Literature & Fiction",Fyodor Dostoyevsky,"""The Brothers Karamazov""",This is a private group. Members must be invited or approved by the group's moderator.,NA,33,"bookclub, cbam, classics, literature"
Aventurous Bookworms Book Club,0.0,,"Books & Literature, Young Adult",,,This is a private group. Members must be invited or approved by the group's moderator.,NA,10,bookclub
Bookpocalypse 2018,0.0,,"Books & Literature, Literature & Fiction",,,This is a private group. Members must be invited or approved by the group's moderator.,Ireland,14,bookclub
Night Owls Book Club,0.0,https://www.goodreads.com/group/bookshelf/206922-night-owls-book-club,"Books & Literature, Health, Mind & Body",,,"This is a public group. Anyone can join and invite others to join.
          This group meets in real life.","Woodbury, NJ",3,"bookclub, drama, fiction, gloucester-county, night-owls, romance, south-jersey"
Dr. Seuss Fans ,0.0,,"Books & Literature, Children's Books",,,This is a public group. Anyone can join and invite others to join.,NA,5,"bookclub, children-s-books, entertainment"
Columbus Public Library Graphic Novel Book Club,0.0,,"Books & Literature, Comics & Graphic Novels",,,"This is a public group. Anyone can join and invite others to join.
          This group meets in real life.","Columbus, GA",4,bookclub
Gotham's Book Club,0.0,,"Books & Literature, Literature & Fiction",,,This is a public group. Anyone can join and invite others to join.,NA,2,"bookclub, fantasy, graphic-novels, historical-fiction, horror, mystery, thriller, young-adult"
CreativeCodex Book Club,0.0,,"Books & Literature, Young Adult",,,This is a public group. Anyone can join and invite others to join.,NA,2,"bookclub, creativecodex, young-adult-books, youtube"
Tecâhül-i Ârif,0.0,https://www.goodreads.com/group/bookshelf/207100-tec-h-l-i-rif,"Books & Literature, General",,,This is a public group. Anyone can join and invite others to join.,Turkey,5,bookclub
Into the books,0.0,,"Books & Literature, General",,,This is a public group. Anyone can join and invite others to join.,Jordan,34,"bookclub, novels, روايات"
The Book Club Chronicles ,0.0,,"Books & Literature, Young Adult",,,This is a public group. Anyone can join and invite others to join.,NA,11,"bookclub, bookclub-young-adult, bookclub-young-adult-books, books, bookstagram, young-adult, young-adult-books"
The Social Book Club,0.0,,"Books & Literature, Literature & Fiction",,,This is a public group. Anyone can join and invite others to join.,India,55,bookclub
O.W.L. - Outstanding Women for Literature,0.0,,"Books & Literature, General",,,This is a private group. Members must be invited or approved by the group's moderator.,NA,11,"2017, 2017-challenge, book-club, bookclub, challenge, reading-group"
The ISB '18 Goodreads Club,0.0,,"Books & Literature, General",,,"This is a private group. Members must be invited or approved by the group's moderator.
          This group meets in real life.",India,105,"bookclub, classof2018, fiction-and-nonfiction, isb"
Teen Book Club,0.0,https://www.goodreads.com/group/bookshelf/207386-teen-book-club,"Just for Fun, Totally Pointless",,,This is a public group. Anyone can join and invite others to join.,The United Kingdom,5,"bookclub, teen-books, teen-fiction, teen-reads, ya"
Fans of Lindsay Schopfer,0.0,https://www.goodreads.com/group/bookshelf/206936-fans-of-lindsay-schopfer,"Books & Literature, Entertainment",,,This is a public group. Anyone can join and invite others to join.,NA,24,"beast-hunter, bookclub, fantasy, lost-under-two-moons, short-story, steampunk"
SAGA Reads,30.0,https://www.goodreads.com/group/bookshelf/207427-saga-reads,"Books & Literature, General","Abigail Tarttelin, Adam Silvera","""Golden Boy"", ""History Is All You Left Me""",This is a public group. Anyone can join and invite others to join.,NA,28,"all-genres, bookclub, fantasy, fiction, gay, gsa, lgbt, lgbtqia, nonfiction, queer"
/leftypol/'s Books for the Bunker,30.0,https://www.goodreads.com/group/bookshelf/207317-leftypol-s-books-for-the-bunker,"Books & Literature, Nonfiction",David Graeber,"""Debt: The First 5,000 Years""",This is a public group. Anyone can join and invite others to join.,NA,67,"anarchism, bookclub, books, bunker, communism, leftist, leftypol, marxism, philosophy, politically-incorrect"
Booklovers,0.0,,"Books & Literature, Science Fiction & Fantasy",,,This is a public group. Anyone can join and invite others to join.,Spain,6,"bookclub, books, club-de-lectura, club-de-libros, english, español, libros"
The Arcana Chronicles Fangirls,0.0,,"Books & Literature, Young Adult",,,This is a public group. Anyone can join and invite others to join.,Switzerland,23,"bookclub, books, dystopian, fantay, reading, the-arcana-chronicles, young-adult-romance"
বাংলার বইমেলা (Book Fair of Bangla),0.0,,"Organizations, General",,,This is a public group. Anyone can join and invite others to join.,Bangladesh,94,"bangladesh, bangladeshi, bangladeshi-baimela, bangladeshi-bookfair, boi-mela, boimela, book-fair, bookclub, community-organiztion, ekushe-baimela"
The book busters ,29.0,https://www.goodreads.com/group/bookshelf/207389-the-book-busters,"Books & Literature, Entertainment",Jandy Nelson,"""I'll Give You the Sun""",This is a private group. Members must be invited or approved by the group's moderator.,The United Kingdom,6,bookclub
YA & NA Romance ♥,0.0,https://www.goodreads.com/group/bookshelf/105969-ya-na-romance,"Books & Literature, Romance",,,This is a public group. Anyone can join and invite others to join.,NA,2004,"book-club, book-discussion-group, bookclub, buddy-reads, discussion, discussion-group, friends, fun, group, group-discussions"
Fringe Fiction,0.0,https://www.goodreads.com/group/bookshelf/128221-fringe-fiction,"Books & Literature, Literature & Fiction",,,This is a public group. Anyone can join and invite others to join.,NA,1981,"action-adventure, bookclub, contemporary, fantasy, horror, mystery, new-adult, romance, scifi, speculative"
The Motley Fool,0.0,,"Just for Fun, Outlandish Statements",,,"This is a private group. Members must be invited or approved by the group's moderator.
          This group meets in real life.",NA,12,bookclub
AE: Autori Emergenti,0.0,,"Goodreads Authors, General",,,This is a public group. Anyone can join and invite others to join.,Italy,3,"authors, autori, bookclub, esordienti, italia, italiano, scrittori"
Encaralhadas ,0.0,,"Friends & Common Interest, Beliefs & Causes",,,This is a private group. Members must be invited or approved by the group's moderator.,Brazil,3,"bookclub, connections, friendship, love"
Not Your Mom's Book Club,0.0,,"Friends & Common Interest, Friends",,,This is a private group. Members must be invited or approved by the group's moderator.,NA,3,"bookclub, inclusive"
Exceed Book Club,0.0,,"Books & Literature, Computers & Internet",,,"This is a private group. Members must be invited or approved by the group's moderator.
            This group is accepting new members.",The United Arab Emirates,16,"bookclub, business, commerce, exceed, improvement, it"
Fairbanks Area Book Club,0.0,,"Books & Literature, General",,,"This is a public group. Anyone can join and invite others to join.
          This group meets in real life.","Fairbanks, AK",10,"bookclub, fairbanks, hamilton-acres"
Literary Laymen,23.0,https://www.goodreads.com/group/bookshelf/206795-literary-laymen,"Books & Literature, General",William Goldman,"""The Princess Bride""","This is a public group. Anyone can join and invite others to join.
          This group meets in real life.",NA,6,bookclub
Nona Baca Buku,0.0,,"Books & Literature, Literature & Fiction",,,"This is a public group. Anyone can join and invite others to join.
          This group meets in real life.",Indonesia,68,"book-discussions, book-reviews, bookclub, books, literary-discussion"
Readers Inc. - Monthly Book Club!,0.0,https://www.goodreads.com/group/bookshelf/183828-readers-inc---monthly-book-club,"Books & Literature, Literature & Fiction",,,This is a public group. Anyone can join and invite others to join.,NA,512,"bookclub, readersinc"
These Dusty Pages Book Club,0.0,https://www.goodreads.com/group/bookshelf/190665-these-dusty-pages-book-club,"Books & Literature, Literature & Fiction",,,This is a public group. Anyone can join and invite others to join.,Australia,57,"bookclub, books, fiction, literature, non-fiction, reading"
Read React Repeat,30.0,https://www.goodreads.com/group/bookshelf/206643-read-react-repeat,"Books & Literature, Literature & Fiction",Maggie Stiefvater,"""The Raven Boys (The Raven Cycle, #1)""",This is a public group. Anyone can join and invite others to join.,NA,51,"bookclub, books, booktube, read, read-react-repeat, readalong, reading-group"
Mathematics Book Club,30.0,https://www.goodreads.com/group/bookshelf/206662-mathematics-book-club,"Books & Literature, Nonfiction",Ian Stewart,"""In Pursuit of the Unknown: 17 Equations That Changed the World""",This is a public group. Anyone can join and invite others to join.,NA,82,"bookclub, books, math, mathematics, maths, nonfiction, reading-club"
Cactus Moon Publications ,0.0,https://www.goodreads.com/group/bookshelf/206822-cactus-moon-publications,"Books & Literature, Literature & Fiction",,,This is a public group. Anyone can join and invite others to join.,NA,11,"authors, book-publishing, bookclub, books, fiction-writing, publications, publishing, readers-club, writers, writers-and-readers"
MidCoast Libraries Better Reading Bookclub,0.0,https://www.goodreads.com/group/bookshelf/180154-midcoast-libraries-better-reading-bookclub,"Books & Literature, General",,,This is a public group. Anyone can join and invite others to join.,Australia,51,"better-reading, book-club, bookclub, library, library-book-club, library-bookclub, public-library"
Mumbai Bookworms,0.0,https://www.goodreads.com/group/bookshelf/51364-mumbai-bookworms,"Books & Literature, General",,,This is a public group. Anyone can join and invite others to join.,India,485,"bookclub, bookworms, mumbai"
Book Hoarders Readers Group,0.0,,"Books & Literature, General",,,This is a public group. Anyone can join and invite others to join.,NA,17,"book-hoarders, bookclub, books, literature, reading-challenge, reading-challenges, reading-group"
BASE Library Book Club,30.0,https://www.goodreads.com/group/bookshelf/186033-base-library-book-club,"Books & Literature, Literature & Fiction",Naomi Alderman,"""The Power""","This is a private group. Members must be invited or approved by the group's moderator.
            This group is accepting new members.",The United Kingdom,48,bookclub
Dystopian Society,36.75,https://www.goodreads.com/group/bookshelf/117798-dystopian-society,"Books & Literature, Science Fiction & Fantasy","Samuel R. Delany, Nathaniel Rich, David Baldacci, Anthony Burgess","""Dhalgren"", ""Odds Against Tomorrow"", ""Zero Day (John Puller, #1)"", ""The Wanting Seed""",This is a public group. Anyone can join and invite others to join.,NA,844,"apocalypse, apocalypse-novels, apocalyptic-novels, bookclub, dystopia, dystopian, dystopian-fiction, dystopian-novels, dystopian-societies, future"
Turkish Reading Challenges,30.0,https://www.goodreads.com/group/bookshelf/76931-turkish-reading-challenges,"Books & Literature, General","F. Scott Fitzgerald, Fadime Kâhya</span></a> <span class=""authorName greyText smallText role"">(Translator), Peyami Safa","""Muhteşem Gatsby"", ""Dokuzuncu Hariciye Koğuşu""",This is a public group. Anyone can join and invite others to join.,Turkey,2830,"bookclub, discussion, turkish-literature"
The Crooked Bookies,29.0,https://www.goodreads.com/group/bookshelf/167548-the-crooked-bookies,"Books & Literature, Literature & Fiction","Brian K. Vaughan</span></a> <span class=""authorName greyText smallText role"">(Writer), Fiona Staples</span></a> <span class=""authorName greyText smallText role"">(Artist)","""Saga, Vol. 1 (Saga, #1)""",This is a public group. Anyone can join and invite others to join.,NA,24,"book-club, book-discussion, bookclub, bookclub-any-type-of-book, eclectic, everything, looking-for-members, members-take-turns, monthly-reads, one-member-chooses"
Lost Friends Book Club,0.0,,"Books & Literature, General",,,"This is a private group. Members must be invited or approved by the group's moderator.
          This group meets in real life.","Altamonte Springs, FL",2,"bookclub, discussion, friends, reading"
Honors ELA Book Discussion,0.0,,"Organizations, Academic Organizations",,,"This is a restricted group. Members can join if they have an email address at one of these domains: @auburnsd.org, @auburn.wednet.edu.
          This group meets in real life.",NA,21,"bookclub, books, discussion, ela, recommendations"
Reads for teens,0.0,https://www.goodreads.com/group/bookshelf/206133-reads-for-teens,"Just for Fun, Fan Clubs",,,This is a public group. Anyone can join and invite others to join.,NA,2,bookclub
Brian McBook Club,0.0,https://www.goodreads.com/group/bookshelf/206202-brian-mcbook-club,"Entertainment & Arts, Performing Arts",,,This is a public group. Anyone can join and invite others to join.,NA,2,"bookclub, drag, katya"
Bitch Witch Coven Books,0.0,,"Books & Literature, General",,,"This is a private group. Members must be invited or approved by the group's moderator.
          This group meets in real life.",The United Kingdom,2,bookclub
Club de Lectura Juvenil Arteixo,0.0,,"Books & Literature, General",,,"This is a private group. Members must be invited or approved by the group's moderator.
          This group meets in real life.","15142, Spain",2,"arteixo, bookclub, bookclub-middle-grade, bookclub-young-adult, club-de-lectura"
Knowledge Seekers International,0.0,,"Student Groups, General",,,This is a public group. Anyone can join and invite others to join.,"22303, Germany",3,"bookclub, knowledge, philosophy, thinking"
MT Book Club,28.0,https://www.goodreads.com/group/bookshelf/203811-mt-book-club,"Books & Literature, Literature & Fiction",Ellen Marie Wiseman,"""The Plum Tree""","This is a private group. Members must be invited or approved by the group's moderator.
          This group meets in real life.","San Francisco, CA",8,"bookclub, bookclubs"
Warriors Read Book Club,28.5,https://www.goodreads.com/group/bookshelf/206279-warriors-read-book-club,"Friends & Common Interest, Friends","Caroline Kepnes, Roshani Chokshi","""You (You, #1)"", ""The Star-Touched Queen (The Star-Touched Queen, #1)""",This is a public group. Anyone can join and invite others to join.,NA,10,"book-of-the-month, bookclub, fantasy, writers, young-adult"
Direto aos Negócios,0.0,,"Business, General",,,"This is a private group. Members must be invited or approved by the group's moderator.
          This group meets in real life.","74223045, Brazil",19,"bookclub, business, goiânia, núcleo"
Teen Readers,0.0,,"Books & Literature, Young Adult",,,This is a public group. Anyone can join and invite others to join.,"Plainville, CT",2,"bookclub, ya, youngadult"
Revolutionize Your Mind,0.0,,"Books & Literature, Nonfiction",,,"This is a public group. Anyone can join and invite others to join.
          This group meets in real life.","San Diego, CA",24,"black-authors, black-literature, bookclub, social-justice"
Meade Book Nook,0.0,,"Books & Literature, General",,,"This is a private group. Members must be invited or approved by the group's moderator.
          This group meets in real life.",NA,6,"bookclub, cougars"
مجتمع البوكتيوبرز العرب,29.0,https://www.goodreads.com/group/bookshelf/206230,"Books & Literature, Entertainment",Stephen King,"""بؤس""",This is a public group. Anyone can join and invite others to join.,Saudi Arabia,151,"arab-booktubers-community, bookclub"
The English Bookshop Sci-Fi Reading Group Forum,0.0,,"Books & Literature, Science Fiction & Fantasy",,,"This is a private group. Members must be invited or approved by the group's moderator.
          This group meets in real life.",Sweden,26,"bookclub, meet-in-person, reading-group, sci-fi, science-fiction, the-english-bookshop"
Bustle's American Woman Book Club,0.0,https://www.goodreads.com/group/bookshelf/206409-bustle-s-american-woman-book-club,"Books & Literature, General",,,"This is a public group. Anyone can join and invite others to join.
          This group meets in real life.",NA,2351,"bookclub, feminism, feminism-bookclub, feminist-book-club, feminist-fiction, identity, politics"
Natural History & Biology,160.0,https://www.goodreads.com/group/bookshelf/202544-natural-history-biology,"Books & Literature, Science","Elizabeth Kolbert, Jonathan Balcombe, Merlin Tuttle","""The Sixth Extinction: An Unnatural History"", ""What a Fish Knows: The Inner Lives of Our Underwater Cousins"", ""The Secret Lives of Bats: My Adventures with the World's Most Misunderstood Mammals""","This is a private group. Members must be invited or approved by the group's moderator.
            This group is accepting new members.",NA,63,"adaptations, amphibians, anatomy, animals, anthropocene, aquatic, arthropods, benthic, biodiversity, biology"
We Read Stuff,58.0,https://www.goodreads.com/group/bookshelf/205990-we-read-stuff,"Books & Literature, General",Megan Miranda,"""All the Missing Girls""",This is a private group. Members must be invited or approved by the group's moderator.,NA,25,"bookclub, global, virtual-book-club, worldwide"
Just Read,0.0,,"Books & Literature, General",,,This is a public group. Anyone can join and invite others to join.,"Phoenix, AZ",5,"book-discussion-group, bookclub, genre, library, public-library, read-what-you-want, theme"
Books and Jams Readalong,30.0,https://www.goodreads.com/group/bookshelf/206426-books-and-jams-readalong,"Books & Literature, Literature & Fiction",Clare Mackintosh,"""I Let You Go""",This is a public group. Anyone can join and invite others to join.,NA,401,"bookclub, discussion, readalong"
The Decadents,0.0,,"Books & Literature, Literature & Fiction",,,"This is a private group. Members must be invited or approved by the group's moderator.
          This group meets in real life.",South Africa,3,"any-type-of-book, bookclub"
My favorite book,0.0,,"Books & Literature, Literature & Fiction",,,This is a public group. Anyone can join and invite others to join.,NA,8,"bookclub, favorite-books, literature-and-fiction"
LBCC Library Bookclub,0.0,,"Books & Literature, General",,,"This is a public group. Anyone can join and invite others to join.
          This group meets in real life.","Long Beach, CA",4,"bcc, bookclub, bookclub-any-type-of-book, discussion-group, general-book-genres, lbcc-bookclub"
Literary Can't Even,28.0,https://www.goodreads.com/group/bookshelf/205329-literary-can-t-even,"Books & Literature, General",Nina Bangs,"""Eternal Pleasure (Gods of the Night #1)""",This is a public group. Anyone can join and invite others to join.,NA,6,"bookclub, comedy, fantasy, fiction, horror, mystery, romance, sci-fi, science-fiction"
HUST Book Club,0.0,,"Books & Literature, Literature & Fiction",,,This is a private group. Members must be invited or approved by the group's moderator.,NA,12,"bookclub, humanistic-studies, saint-mary-s-college"
HHS Book Club,0.0,,"Just for Fun, Inside Jokes",,,"This is a private group. Members must be invited or approved by the group's moderator.
          This group meets in real life.","Fort Thomas, KY",13,bookclub
What We Read,0.0,https://www.goodreads.com/group/bookshelf/205188-what-we-read,"Books & Literature, Literature & Fiction",,,This is a public group. Anyone can join and invite others to join.,The United Kingdom,9,"blog, bookclub, virtual"
The Dragon's Den,0.0,,"Just for Fun, Outlandish Statements",,,This is a public group. Anyone can join and invite others to join.,NA,3,"action, adventure, bookclub, children-s-books, etc, fantasy, horror, mystery, poetry, romance"
Gatekeeper of Books,0.0,,"Books & Literature, General",,,This is a private group. Members must be invited or approved by the group's moderator.,NA,10,"bookclub, children, comics, diverse, etc, fantasy, lgbtq, manga, romance, ya"
Pinterest Books ,27.0,https://www.goodreads.com/group/bookshelf/174363-pinterest-books,"Books & Literature, Young Adult",Mindy McGinnis,"""A Madness So Discreet""",This is a public group. Anyone can join and invite others to join.,NA,33,"bookclub, contemporary, fantasy, readalong, young-adult"
Sister Stories,48.0,https://www.goodreads.com/group/bookshelf/205767-sister-stories,"Books & Literature, General","Mariama Bâ, Modupé Bodé-Thomas</span></a> <span class=""authorName greyText smallText role"">(Translator)","""So Long a Letter""",This is a private group. Members must be invited or approved by the group's moderator.,"Brunswick, GA",21,"bookclub, countries, cultures, feminist, international, multicultural, travel, women"
Reading Genius Club,0.0,,"Friends & Common Interest, Activities",,,"This is a public group. Anyone can join and invite others to join.
          This group meets in real life.",NA,2,bookclub
Medfield Book Buddies,0.0,,"Books & Literature, Literature & Fiction",,,"This is a private group. Members must be invited or approved by the group's moderator.
          This group meets in real life.","Medfield, MA",7,"bookclub, fiction, historical, historical-fiction, mystery, non-fiction, romance"
Retro Rereads,0.0,,"Books & Literature, Literature & Fiction",,,This is a public group. Anyone can join and invite others to join.,NA,188,"book-riot, bookclub"
SCOOPers,0.0,,"Friends & Common Interest, Hobbies & Crafts",,,This is a public group. Anyone can join and invite others to join.,Indonesia,53,"bookclub, digital, ebooks"
Ravenclaw Bookclub,30.0,https://www.goodreads.com/group/bookshelf/205190-ravenclaw-bookclub,"Books & Literature, General",Emily St. John Mandel,"""Station Eleven""",This is a private group. Members must be invited or approved by the group's moderator.,NA,49,"bookclub, ravenclaw, ravenclaw-bookclub, ravenclaw-house, ravenclaws-of-pottermore"
1st Monday Book Club,0.0,,"Just for Fun, Fan Clubs",,,"This is a private group. Members must be invited or approved by the group's moderator.
            This group is accepting new members.
          This group meets in real life.","Clinton, OK",15,"bookclub, enjoyment, reading"
Sapphic Book Club,28.0,https://www.goodreads.com/group/bookshelf/205595-sapphic-book-club,"Books & Literature, Gay & Lesbian",Emily Skrutskie,"""The Abyss Surrounds Us (The Abyss Surrounds Us, #1)""",This is a private group. Members must be invited or approved by the group's moderator.,NA,215,"bookclub, gay-and-lesbian, gay-fiction, lesbian-authors, lesbian-books, lesbian-fiction, lesbians, sapphic"
The Official Jane Austen Book Club,29.0,https://www.goodreads.com/group/bookshelf/167056-the-official-jane-austen-book-club,"Books & Literature, Romance",Amanda Grange,"""Mr. Darcy's Diary (Jane Austen Heroes, #1)""",This is a public group. Anyone can join and invite others to join.,NA,242,"all-ages, bookclub, emma, inclusive, jane-austen, mansfield-park, northanger-abbey, persuasion, pride-and-prejudice, romance"
Booklovers ,30.0,https://www.goodreads.com/group/bookshelf/205403-booklovers,"Just for Fun, Fan Clubs",Jeanette Winterson,"""Why Be Happy When You Could Be Normal?""",This is a public group. Anyone can join and invite others to join.,Tunisia,281,bookclub
Only A Book Apart,61.0,https://www.goodreads.com/group/bookshelf/205418-only-a-book-apart,"Friends & Common Interest, Current Events",Marina Nemat,"""After Tehran: A Life Reclaimed""",This is a public group. Anyone can join and invite others to join.,Canada,8,"bookclub, countries-and-culture, geography, social-justice"
Hobb-A-Long Read-A-Long,0.0,https://www.goodreads.com/group/bookshelf/189045-hobb-a-long-read-a-long,"Books & Literature, Science Fiction & Fantasy",,,This is a public group. Anyone can join and invite others to join.,NA,749,"assassins-apprentice, bookclub, booktube, elderlings, fantasy, read-along, readalong, robin-hobbbb, youtube"
Bako Book Nerds Book Club,30.0,https://www.goodreads.com/group/bookshelf/114624-bako-book-nerds-book-club,"Books & Literature, Literature & Fiction",E.L. James,"""Fifty Shades of Grey (Fifty Shades, #1)""","This is a private group. Members must be invited or approved by the group's moderator.
            This group is accepting new members.
          This group meets in real life.","Bakersfield, CA",12,"bakersfield, bookclub, fiction, oildale"
✨ Adults Who Read YA ✨,30.0,https://www.goodreads.com/group/bookshelf/205274-adults-who-read-ya,"Books & Literature, Young Adult","Cynthia Hand, Jodi Meadows</span></a> <span class=""greyText"">(Goodreads Author)","""My Plain Jane (The Lady Janies, #2)""",This is a public group. Anyone can join and invite others to join.,NA,140,"bookclub, teen-books, teen-lit, ya, ya-lit, young-adult"
Bookworms ClickDelivery,0.0,,"Books & Literature, Science Fiction & Fantasy",,,"This is a private group. Members must be invited or approved by the group's moderator.
          This group meets in real life.",Colombia,10,"bookclub, club-de-lectura"
The Future is Female: Female Protagonist Book Club,0.0,https://www.goodreads.com/group/bookshelf/204770-the-future-is-female-female-protagonist-book-club,"Books & Literature, Young Adult",,,This is a public group. Anyone can join and invite others to join.,NA,12,"book-club, bookclub, female-characters, female-empowerment, female-protagonist, feminism, feminism-bookclub, fiction-bookclub, young-adult, young-adult-fiction"
Love Always Wins,0.0,,"Books & Literature, Nonfiction",,,This is a public group. Anyone can join and invite others to join.,NA,9,"bipartisan, bookclub, love, love-wins, politics"
Skyscanner Product Book Club,0.0,https://www.goodreads.com/group/bookshelf/204950-skyscanner-product-book-club,"Business, General",,,"This is a restricted group. Members can join if they have an email address at one of these domains: @skyscanner.net.
          This group meets in real life.",The United Kingdom,14,bookclub
